Date,Time,Item,Price,Quantity,Total,Payment Method,Customer Satisfaction,Weather,Special Offers
2024-04-18,12:30,Salad,5.0,1,5.0,Cash,5,Cloudy,No
2024-04-18,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-18,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-18,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-18,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-18,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-19,12:00,Sandwich,4.5,2,9.0,Cash,4,Sunny,No
2024-04-19,12:15,Drink,1.5,1,1.5,Card,3,Rainy,Yes
2024-04-19,12:30,Salad,5.0,1,5.0,Mobile Payment,5,Cloudy,No
2024-04-19,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-19,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-19,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-19,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-19,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-20,12:00,Sandwich,4.5,2,9.0,Mobile Payment,4,Sunny,No
2024-04-20,12:15,Drink,1.5,1,1.5,Cash,3,Cloudy,Yes
2024-04-20,12:30,Salad,5.0,1,5.0,Card,5,Rainy,No
2024-04-20,12:45,Burger,5.5,2,11.0,Mobile Payment,4,Sunny,Yes
2024-04-20,13:00,Sandwich,4.5,1,4.5,Cash,3,Cloudy,No
2024-04-20,13:15,Drink,1.5,1,1.5,Card,5,Rainy,Yes
2024-04-20,13:30,Salad,5.0,2,10.0,Mobile Payment,4,Sunny,No
2024-04-20,13:45,Burger,5.5,1,5.5,Cash,3,Cloudy,Yes
2024-04-21,12:00,Sandwich,4.5,2,9.0,Card,4,Sunny,No
2024-04-21,12:15,Drink,1.5,1,1.5,Mobile Payment,3,Rainy,Yes
2024-04-21,12:30,Salad,5.0,1,5.0,Cash,5,Cloudy,No
2024-04-21,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-21,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-21,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-21,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-21,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-22,12:00,Sandwich,4.5,2,9.0,Cash,4,Sunny,No
2024-04-22,12:15,Drink,1.5,1,1.5,Card,3,Cloudy,Yes
2024-04-22,12:30,Salad,5.0,1,5.0,Mobile Payment,5,Rainy,No
2024-04-22,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-22,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-22,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-22,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-22,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-23,12:00,Sandwich,4.5,2,9.0,Card,4,Sunny,No
2024-04-23,12:15,Drink,1.5,1,1.5,Mobile Payment,3,Rainy,Yes
2024-04-23,12:30,Salad,5.0,1,5.0,Cash,5,Cloudy,No
2024-04-23,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-23,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-23,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-23,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-23,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-24,12:00,Sandwich,4.5,2,9.0,Cash,4,Sunny,No
2024-04-24,12:15,Drink,1.5,1,1.5,Card,3,Cloudy,Yes
2024-04-24,12:30,Salad,5.0,1,5.0,Mobile Payment,5,Rainy,No
2024-04-24,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-24,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-24,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-24,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-24,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
2024-04-25,12:00,Sandwich,4.5,2,9.0,Card,4,Sunny,No
2024-04-25,12:15,Drink,1.5,1,1.5,Mobile Payment,3,Rainy,Yes
2024-04-25,12:30,Salad,5.0,1,5.0,Cash,5,Cloudy,No
2024-04-25,12:45,Burger,5.5,2,11.0,Card,4,Sunny,Yes
2024-04-25,13:00,Sandwich,4.5,1,4.5,Mobile Payment,3,Cloudy,No
2024-04-25,13:15,Drink,1.5,1,1.5,Cash,5,Rainy,Yes
2024-04-25,13:30,Salad,5.0,2,10.0,Card,4,Sunny,No
2024-04-25,13:45,Burger,5.5,1,5.5,Mobile Payment,3,Cloudy,Yes
